Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
KVR8084,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB857458,A71536 ,30 ONBUS BASIC URB S/AR C/ELEV,21/08/12 16:41
LQC6566,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831830,A71537 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:23
LRB7647,2013,Diesel,2903,MBB LO916 EURO V,MARCOPOLO,MERCEDES BENZ,9BM979277EB941000,A71538 ,27 MINIONBUS URBAN C/AR C/ELEV,13/02/14 14:35
LQD8550,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831858,A71539 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:28
LRK9557,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963914,A71540 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 11:55
KZP7059,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831880,A71541 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:23
KQP5434,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963920,A71542 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 12:01
LQC6567,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831836,A71543 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:24
KOY4813,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868894,A71544 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:16
LLS5752,2012,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868836,A71545 ,30 ONBUS BASIC URB S/AR C/ELEV,30/01/13 17:05
LRR6002,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947426,A71546 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:18
KOY5129,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868898,A71547 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:12
KZO3936,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831876,A71548 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:28
LUL4366,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB857482,A71549 ,30 ONBUS BASIC URB S/AR C/ELEV,21/08/12 16:41
KVO9953,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831892,A71550 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:28
LQJ5615,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855278,A71551 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:02
LQN9229,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874407,A71552 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:50
LLW6957,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906135,A71553 ,30 ONBUS BASIC URB S/AR C/ELEV,16/08/13 19:09
KQP5431,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963918,A71554 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 11:57
LQL6484,2012,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869035,A71555 ,30 ONBUS BASIC URB S/AR C/ELEV,30/01/13 17:06
KOY4814,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868901,A71556 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:18
LLT0963,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868902,A71557 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:11
LRK9555,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963916,A71558 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 11:59
KVU5559,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868905,A71559 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:18
KVU5784,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868907,A71560 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:13
KPM9227,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868909,A71561 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:11
LPW3588,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB785532,A71562 ,30 ONBUS BASIC URB S/AR C/ELEV,26/07/11 12:26
KVQ5614,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB843985,A71563 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:28
LQV8658,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906152,A71564 ,30 ONBUS BASIC URB S/AR C/ELEV,28/08/13 18:38
LQV8659,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906180,A71565 ,30 ONBUS BASIC URB S/AR C/ELEV,28/08/13 18:39
LQJ5531,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB855282,A71566 ,30 ONBUS BASIC URB S/AR C/ELEV,11/09/12 12:05
LLT1191,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868984,A71567 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:15
KVO9950,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831864,A71568 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:25
LLQ4875,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB844001,A71569 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:29
KZJ6418,2013,Diesel,2903,MBB LO916 EURO V,MARCOPOLO,MERCEDES BENZ,9BM979277EB941006,A71570 ,27 MINIONBUS URBAN C/AR C/ELEV,13/02/14 14:35
LLQ4882,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB844267,A71571 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:29
KVO9952,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831870,A71572 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:25
LRH5506,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947467,A71573 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:22
KOX7235,2012,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868839,A71574 ,30 ONBUS BASIC URB S/AR C/ELEV,30/01/13 17:07
LLW6955,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906185,A71575 ,30 ONBUS BASIC URB S/AR C/ELEV,16/08/13 19:10
KOY4161,2012,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869026,A71576 ,30 ONBUS BASIC URB S/AR C/ELEV,30/01/13 17:07
KWB7286,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906168,A71577 ,30 ONBUS BASIC URB S/AR C/ELEV,28/08/13 18:39
LLT2053,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868986,A71578 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:17
LRK9553,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963923,A71579 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 14:40
KWA8417,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906131,A71580 ,30 ONBUS BASIC URB S/AR C/ELEV,16/08/13 19:10
KOX5172,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868841,A71581 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:12
LLT7908,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874410,A71582 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:51
LTH4468,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874431,A71583 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:52
KWL4764,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB786285,A71584 ,30 ONBUS BASIC URB S/AR C/ELEV,26/07/11 12:27
LPW3591,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB786288,A71585 ,30 ONBUS BASIC URB S/AR C/ELEV,26/07/11 12:27
LRH5505,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB946438,A71586 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:19
KOP4956,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831868,A71587 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:26
LQL6492,2012,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869005,A71588 ,30 ONBUS BASIC URB S/AR C/ELEV,30/01/13 17:08
LPW3255,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB786310,A71589 ,30 ONBUS BASIC URB S/AR C/ELEV,05/08/11 17:16
KPY8434,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB946441,A71590 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:20
LLS9813,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869038,A71591 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:16
LLS9337,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869046,A71592 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:17
KVV7496,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874434,A71593 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:52
LPW1824,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB781358,A71594 ,30 ONBUS BASIC URB S/AR C/ELEV,26/07/11 12:27
KOL4664,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB781690,A71595 ,30 ONBUS BASIC URB S/AR C/ELEV,05/08/11 17:17
KVT9692,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869041,A71596 ,30 ONBUS BASIC URB S/AR C/ELEV,11/06/13 10:09
KPY8435,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB946471,A71597 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:19
LRK9554,2014,Diesel,2944,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB963912,A71598 ,31 ONBUS BASIC URB C/AR C/ELEV,05/09/14 14:40
LLS9335,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869583,A71599 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:10
LQL5539,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB869590,A71600 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:10
KWU3411,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB844827,A71601 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:29
LRG5006,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB946750,A71602 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:20
LLM8754,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB781707,A71603 ,30 ONBUS BASIC URB S/AR C/ELEV,05/08/11 17:17
LQN9228,2012,Diesel,2883,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB874440,A71604 ,48 MIDI URB S/AR C/ELEV S/COBR,02/07/13 14:53
