Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LLC3784,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB697509,B11676 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LPO3279,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB697442,B11677 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LLC3793,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB697285,B11678 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LLC3781,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB697312,B11679 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
KNW6828,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB697845,B11680 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LLC3795,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB698221,B11681 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LTR2932,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB698383,B11682 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
KYC5180,2013,Diesel,2956,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB940969,B11683 ,50 ONBUS BS URB S/AR C/E 2CATR,28/01/14 14:04
KYC5175,2013,Diesel,2956,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB940899,B11684 ,50 ONBUS BS URB S/AR C/E 2CATR,28/01/14 14:06
KYC5176,2013,Diesel,2956,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB940959,B11685 ,50 ONBUS BS URB S/AR C/E 2CATR,28/01/14 14:06
LLF8771,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB729586,B11686 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LUF3229,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB729600,B11687 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LLF8752,2010,Diesel,2682,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067AB729293,B11688 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LQQ7284,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890785,B11690 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:05
KPN6098,2013,Diesel,2935,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB918845,B11691 ,52 MIDI URB S/AR C/ELEV 2 CATR,03/09/13 15:14
KPN6097,2013,Diesel,2935,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB918896,B11692 ,52 MIDI URB S/AR C/ELEV 2 CATR,29/08/13 10:30
LQQ7287,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890791,B11693 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:05
KPH4840,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890816,B11694 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:06
LPM5806,2009,Diesel,2597,LO-915,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM688277AB673446,B11695 ,26 MINIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
LRN7455,2014,Diesel,2998,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067EB967369,B11696 ,53 MIDI URB C/AR C/ELEV 2 CATR,27/10/14 17:57
LLM5282,2011,Diesel,2766,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067BB781431,B11698 ,48 MIDI URB S/AR C/ELEV S/COBR,24/05/11 15:43
LLM5307,2011,Diesel,2766,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067BB781434,B11699 ,48 MIDI URB S/AR C/ELEV S/COBR,24/05/11 15:43
LQG3872,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB856401,B11700 ,28 MIDIONBUS URBAN S/AR C/ELEV,22/05/12 12:27
LQG3870,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB856391,B11701 ,28 MIDIONBUS URBAN S/AR C/ELEV,22/05/12 12:27
LQG3873,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB856403,B11702 ,28 MIDIONBUS URBAN S/AR C/ELEV,22/05/12 12:31
LQG3874,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB856406,B11703 ,28 MIDIONBUS URBAN S/AR C/ELEV,22/05/12 12:32
KVQ9864,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB856396,B11704 ,28 MIDIONBUS URBAN S/AR C/ELEV,13/07/12 15:19
LRR4315,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855268,B11705 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 10:47
KQF7718,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855277,B11706 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 10:47
LSV4383,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855279,B11707 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 10:48
LTN4254,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855260,B11708 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 10:48
LQQ7288,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890823,B11709 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:07
LQQ7289,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890830,B11710 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:07
LQW2108,2013,Diesel,2935,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB916705,B11711 ,52 MIDI URB S/AR C/ELEV 2 CATR,10/09/13 11:38
KPN6100,2013,Diesel,2935,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB916775,B11712 ,52 MIDI URB S/AR C/ELEV 2 CATR,10/09/13 11:38
LKQ4292,2008,Diesel,2301,OF-1418,MARCOPOLO SENIOR,MERCEDES BENZ,9BM3840678B582637,B11713 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
LKQ4922,2008,Diesel,2301,OF-1418,MARCOPOLO SENIOR,MERCEDES BENZ,9BM3840678B583311,B11714 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
